Sensor_data:-0.00,0.01,1.02,-0.55,1.16,-1.34,0.84,
Sensor_data:0.01,-0.02,1.05,0.55,1.16,-1.28,0.74,
Sensor_data:0.00,-0.02,1.03,0.31,1.22,-1.28,0.06,
Sensor_data:0.01,-0.04,0.97,2.56,0.85,-1.28,-0.52,
Sensor_data:0.00,-0.05,1.00,0.92,0.98,-1.16,-0.42,
Sensor_data:-0.00,-0.05,1.03,-0.79,1.10,-1.22,-0.10,
Sensor_data:0.01,0.02,1.03,-0.49,1.16,-1.10,-0.03,
Sensor_data:0.00,-0.04,1.05,1.10,0.85,-0.98,-0.03,
Sensor_data:-0.02,-0.02,0.96,1.89,0.73,-0.98,0.32,
Sensor_data:-0.01,0.00,0.99,-0.85,0.92,-0.85,0.77,
Sensor_data:0.02,0.02,0.95,-1.71,1.22,-1.16,-0.03,
Sensor_data:-0.01,-0.00,0.98,0.43,1.28,-0.98,-0.74,
Sensor_data:0.01,-0.00,1.04,0.92,0.98,-0.92,-0.52,
Sensor_data:0.01,-0.03,1.01,1.34,1.04,-1.04,-0.00,
Sensor_data:0.01,-0.02,1.01,-0.06,0.92,-0.92,0.58,
Sensor_data:0.01,0.01,1.00,-1.16,1.04,-0.92,-0.07,
Sensor_data:0.02,0.01,1.01,0.73,1.04,-0.98,-0.07,
Sensor_data:0.01,0.01,0.98,1.22,0.92,-1.04,-0.58,
Sensor_data:0.00,-0.01,1.00,1.10,0.92,-0.85,-0.49,
Sensor_data:0.01,-0.03,0.95,0.06,0.92,-0.98,-0.65,
Sensor_data:-0.01,0.09,0.99,-0.37,1.22,-1.04,-0.39,
Sensor_data:-0.00,-0.02,0.96,3.42,0.92,-1.10,0.09,
Sensor_data:-0.02,0.03,0.99,1.04,0.92,-1.10,0.87,
Sensor_data:0.01,0.06,1.08,-0.61,1.16,-1.22,0.80,
Sensor_data:-0.01,0.02,1.01,1.71,0.85,-1.16,-0.00,
Sensor_data:0.00,0.03,1.08,-0.79,1.34,-1.28,-0.68,
Sensor_data:0.01,-0.02,0.92,2.93,1.04,-1.34,-0.39,
Sensor_data:0.01,-0.02,0.99,1.34,1.10,-1.34,-0.00,
Sensor_data:0.00,-0.03,1.06,-0.79,1.04,-1.28,0.87,
Sensor_data:0.01,-0.02,1.00,0.49,1.04,-1.34,-0.03,
Sensor_data:0.01,-0.02,1.08,-0.43,1.04,-1.22,-0.07,
Sensor_data:0.01,-0.04,0.99,2.50,0.73,-1.10,-0.55,
Sensor_data:0.00,-0.03,0.92,1.46,0.85,-1.04,-0.52,
Sensor_data:-0.01,-0.02,1.06,-2.01,1.16,-0.98,-0.58,
