Sensor_data:-0.00,-0.01,1.04,-1.10,1.22,-1.10,0.61,
Sensor_data:-0.01,-0.02,1.02,1.59,1.04,-1.04,0.42,
Sensor_data:-0.00,-0.04,0.97,2.08,0.98,-1.04,0.35,
Sensor_data:-0.01,0.01,0.94,0.67,0.98,-0.98,0.67,
Sensor_data:-0.03,0.01,1.05,-1.16,1.16,-0.85,0.13,
Sensor_data:0.02,0.02,0.95,0.92,1.22,-1.04,-0.26,
Sensor_data:0.00,-0.01,1.03,1.83,0.92,-0.85,-1.00,
Sensor_data:0.02,-0.01,1.00,0.55,1.10,-0.92,-0.90,
Sensor_data:0.00,0.02,0.97,-0.55,1.16,-0.85,-0.23,
Sensor_data:0.01,0.03,1.00,-0.31,1.16,-1.04,0.61,
Sensor_data:0.01,0.00,1.01,0.73,1.04,-0.92,0.22,
Sensor_data:0.00,-0.01,0.99,1.16,0.85,-0.98,-0.07,
Sensor_data:-0.00,-0.02,0.99,0.55,0.73,-1.10,-0.78,
Sensor_data:0.00,0.01,1.00,-0.79,0.92,-1.10,-0.52,
Sensor_data:-0.01,0.03,0.99,-0.55,1.16,-0.98,-0.61,
Sensor_data:0.04,-0.01,1.05,0.92,1.16,-1.04,-0.61,
Sensor_data:0.03,0.02,1.02,0.98,1.16,-0.98,-0.84,
Sensor_data:-0.01,0.06,0.98,0.98,1.10,-0.92,-0.00,
Sensor_data:-0.01,0.08,1.08,-1.10,1.34,-1.16,0.80,
Sensor_data:-0.00,0.03,0.97,2.38,1.22,-1.10,0.61,
Sensor_data:0.00,-0.00,0.95,2.50,0.92,-1.28,-0.07,
Sensor_data:0.01,0.01,1.05,0.00,1.16,-1.40,-0.84,
Sensor_data:0.00,-0.01,0.96,-0.06,1.22,-1.34,-0.03,
Sensor_data:0.00,-0.01,1.03,-1.28,1.28,-1.34,1.06,
Sensor_data:-0.00,-0.04,0.99,0.92,1.04,-1.28,-0.00,
Sensor_data:0.01,-0.05,0.98,2.38,0.92,-1.28,0.03,
Sensor_data:-0.00,-0.03,0.98,1.10,0.92,-1.10,-0.65,
Sensor_data:-0.00,0.01,1.00,-0.73,1.16,-1.16,-0.81,
Sensor_data:-0.01,0.02,0.99,-0.79,1.22,-1.10,-0.78,
Sensor_data:-0.01,-0.01,1.06,1.53,0.98,-1.04,-0.65,
Sensor_data:-0.03,0.00,1.01,1.83,1.04,-0.85,-0.68,
Sensor_data:0.01,0.00,1.00,-0.98,1.16,-1.10,-0.10,
Sensor_data:0.01,0.01,1.02,-0.06,1.16,-1.04,0.58,
Sensor_data:0.01,0.01,0.97,0.55,1.16,-1.28,0.64,
Sensor_data:0.01,-0.01,1.03,1.28,0.79,-0.98,-0.26,
Sensor_data:0.01,-0.04,1.01,0.79,0.79,-0.98,-1.07,
Sensor_data:0.00,0.01,0.98,-0.98,0.98,-0.98,-0.74,
Sensor_data:0.01,0.03,1.01,-1.10,1.16,-0.92,-0.07,
Sensor_data:0.01,-0.00,1.01,0.85,0.98,-0.98,-0.10,
Sensor_data:-0.01,-0.03,1.00,1.53,0.85,-1.04,0.03,
Sensor_data:0.01,-0.07,0.93,-0.67,0.98,-0.85,0.61,
Sensor_data:-0.01,0.07,1.13,-2.56,1.34,-0.92,0.74,
Sensor_data:0.01,0.10,1.00,0.31,1.22,-0.98,0.51,
Sensor_data:-0.01,-0.04,0.95,3.91,0.85,-0.92,0.61,
Sensor_data:0.01,0.11,1.05,0.49,0.79,-1.16,-0.45,
Sensor_data:-0.01,0.03,0.93,1.83,0.98,-1.16,-0.90,
Sensor_data:-0.00,0.02,1.00,-0.24,1.22,-1.40,0.19,
Sensor_data:0.01,0.04,1.03,-0.55,1.46,-1.46,0.80,
Sensor_data:0.01,-0.04,0.97,2.50,1.04,-1.34,0.13,
Sensor_data:-0.01,-0.04,1.05,-1.34,1.22,-1.34,-1.10,
Sensor_data:0.01,-0.02,0.95,0.12,0.92,-1.22,-0.81,
Sensor_data:0.01,-0.02,0.99,-0.06,0.85,-1.22,0.13,
Sensor_data:0.00,-0.02,1.06,-0.37,1.10,-1.10,0.48,
Sensor_data:0.02,-0.05,0.94,2.14,0.79,-1.10,0.32,
Sensor_data:-0.01,-0.03,1.05,-1.10,1.16,-1.04,0.32,
Sensor_data:-0.01,0.02,1.01,-1.59,1.10,-1.04,0.55,
Sensor_data:-0.01,0.01,1.02,-0.12,1.22,-0.98,0.51,
Sensor_data:0.00,-0.01,0.96,1.40,1.16,-0.85,-0.36,
Sensor_data:-0.00,0.01,0.99,-0.37,1.04,-0.98,-1.03,
Sensor_data:0.00,-0.01,1.02,-0.98,1.04,-0.92,-0.90,
Sensor_data:0.01,0.01,1.03,-0.61,1.04,-1.10,-0.10,
Sensor_data:0.01,0.01,1.01,0.06,1.22,-1.04,0.64,
Sensor_data:0.01,0.01,0.96,1.28,0.85,-0.92,0.74,
Sensor_data:0.01,-0.01,1.01,-0.43,0.92,-0.92,-0.03,
Sensor_data:0.00,0.00,1.00,-1.04,0.92,-0.98,0.03,
Sensor_data:0.01,0.02,1.00,-0.73,1.22,-0.85,-0.00,
Sensor_data:-0.03,-0.03,0.89,0.85,0.92,-0.92,-0.03,
Sensor_data:0.02,0.01,1.10,-1.28,1.22,-0.85,-0.81,
Sensor_data:-0.00,0.03,1.00,-0.55,1.22,-0.92,-0.65,
Sensor_data:-0.00,0.06,0.91,1.53,1.04,-0.92,-0.71,
Sensor_data:-0.01,0.08,1.07,-0.12,1.16,-1.16,0.09,
Sensor_data:0.00,-0.00,0.95,2.56,0.92,-1.22,0.96,
Sensor_data:-0.00,0.03,1.03,-0.79,1.10,-1.40,0.55,
Sensor_data:0.00,0.02,1.02,-0.92,1.34,-1.53,-0.90,
Sensor_data:0.01,-0.00,0.95,0.49,1.16,-1.34,-0.45,
Sensor_data:0.01,-0.03,1.03,0.24,0.98,-1.28,0.90,
Sensor_data:0.01,-0.05,0.97,2.20,0.79,-1.22,0.51,
Sensor_data:-0.00,-0.03,0.99,0.12,0.85,-1.28,0.29,
Sensor_data:-0.01,-0.02,1.02,-1.22,1.10,-1.22,-0.10,
Sensor_data:0.00,0.02,0.99,-0.18,1.16,-1.04,0.06,
Sensor_data:0.00,0.02,1.04,1.77,0.85,-1.04,-0.49,
Sensor_data:-0.00,0.04,0.87,0.37,1.04,-0.98,-0.84,
Sensor_data:-0.01,-0.01,1.09,-1.95,1.10,-0.92,-0.94,
Sensor_data:0.02,0.02,0.99,-0.79,1.16,-1.10,-0.81,
Sensor_data:0.01,0.01,0.96,1.22,1.04,-1.04,-0.03,
Sensor_data:0.00,-0.03,1.02,0.85,0.92,-0.92,0.64,
Sensor_data:-0.01,-0.01,0.98,-0.31,1.04,-1.04,0.58,
Sensor_data:0.00,0.03,0.95,-0.98,1.16,-1.10,-0.90,
Sensor_data:0.00,0.00,0.99,-0.43,1.16,-1.10,-1.00,
Sensor_data:0.00,-0.02,1.01,1.59,0.79,-0.98,-0.61,
Sensor_data:0.01,0.00,0.99,0.67,0.92,-0.92,-0.23,
Sensor_data:0.00,-0.00,1.01,-0.37,1.04,-1.04,-0.07,
Sensor_data:-0.00,0.03,0.95,-0.98,1.16,-0.79,0.03,
Sensor_data:-0.02,0.00,1.05,0.85,1.22,-0.98,0.03,
Sensor_data:0.00,0.00,0.92,2.50,0.98,-1.04,0.64,
Sensor_data:-0.00,0.03,0.97,0.55,0.92,-1.04,0.93,
Sensor_data:-0.00,0.09,1.04,-1.40,1.10,-1.28,-0.16,
Sensor_data:-0.01,0.04,0.98,0.98,1.28,-1.28,-0.71,
Sensor_data:0.01,-0.00,1.07,0.92,1.04,-1.28,-0.03,
Sensor_data:0.01,-0.01,0.97,1.34,0.92,-1.22,0.90,
Sensor_data:0.01,-0.04,0.99,0.55,1.04,-1.28,0.93,
Sensor_data:-0.00,-0.01,1.00,-1.53,1.16,-1.28,-1.07,
Sensor_data:0.01,-0.05,1.02,-0.31,1.16,-1.34,-0.71,
Sensor_data:0.01,-0.04,1.03,1.34,0.92,-1.10,-0.00,
Sensor_data:0.00,-0.04,0.98,1.34,0.92,-1.10,-0.00,
Sensor_data:0.01,-0.01,1.01,-0.18,1.04,-1.04,0.77,
Sensor_data:0.02,0.04,1.05,-1.40,1.40,-1.16,0.45,
Sensor_data:0.01,-0.01,0.90,1.59,1.16,-1.04,0.38,
Sensor_data:-0.01,-0.02,1.07,0.73,1.10,-0.92,0.51,
Sensor_data:0.01,0.01,0.93,0.06,0.85,-1.04,-0.10,
Sensor_data:-0.00,-0.03,1.09,-0.92,0.92,-0.98,-1.07,
Sensor_data:-0.00,0.02,0.99,-0.61,1.22,-0.98,-0.90,
Sensor_data:0.00,0.01,0.98,1.22,1.04,-0.98,-0.13,
Sensor_data:0.01,-0.01,0.98,1.16,0.85,-1.04,0.84,
Sensor_data:-0.00,-0.03,1.01,0.24,0.85,-0.98,0.90,
Sensor_data:0.00,-0.01,1.02,-0.67,1.10,-0.92,0.26,
Sensor_data:0.01,0.02,1.00,0.49,1.10,-0.85,-0.07,
Sensor_data:0.01,-0.01,1.02,1.59,0.85,-0.98,-0.07,
Sensor_data:0.01,-0.02,0.94,0.79,0.85,-1.04,-0.03,
Sensor_data:-0.01,0.02,1.07,-2.38,1.40,-0.92,-0.81,
Sensor_data:0.00,0.02,0.95,-1.53,1.34,-0.79,-0.68,
